name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
AMOUAGE Interlude,"vanilla,leather,oakmoss,amber,benzointonka,musk,agarwood,,sandalwood",Women,"incense,rose,orangeblossom,jasmine,walnutcoffee,kiwi,sandalwood,honey,immortelle,opoponax",https://www.noon.com/uae-en/interlude-edp-100ml/N13581449A/p?o=c807d786df81126b,Fruity,100ml,"ginger,marigold,grapefruit,bergamot",571.5,EDP
AMOUAGE Interlude,"leather,agarwoodsmoke,patchouli,sandalwood",Men,"amber,frankincense,opoponax,cistus,myrrh",https://www.noon.com/uae-en/interlude-edp-100ml/N23100860A/p?o=f99ead4b5ed4af7a,Fresh,100ml,"zestybergamot,oregano,pimentoberry",651.3,EDP
AMOUAGE Interlude,"leather,agarwoodsmoke,patchouli,,alwood",Men,"amber,frankincense,opoponax,cistus,myrrh",https://www.noon.com/uae-en/interlude-edp-2ml/N36158970A/p?o=a81001013a5c1d4d,Arabian,2ml,"zestybergamot,oregano,pimentoberry",38.05,EDP
AMOUAGE Interlude For Men,"agarwood,patchouli,sandalwood,smoke,leather",Men,"amber,cistus,opoponax,frankincense",https://www.noon.com/uae-en/interlude-edp-for-men-100ml/N11201605A/p?o=b03f9f24084481eb,,100ml,"oregano,bergamot,pimentoberry",648.05,EDP
AMOUAGE Journery,"tonka,leather,cypriol,nagarmotha,musk",Men,"juniperberries,incense,tobaccoleaf",https://www.noon.com/uae-en/journery-edp-100ml/N14798944A/p?o=c6d4bd7e244fa7fa,Spicy,100ml,"sichuanpepper,cardamom,bergamot,neroli",561.0,EDP
AMOUAGE Journey,"tonka,cypriol,leather,ambrox",Men,"juniperberries,incense,puregeraniol,tobacco",https://www.noon.com/uae-en/journey-edp-100ml/N23102593A/p?o=e323a12407aaf34c,,100ml,"pepper,bergamot,cardamom,neroli,bigarade",526.4,EDP
AMOUAGE Journey,"tonka,leather,cypriol,nagarmotha,musk",Women,"juniperberries,incense,tobaccoleaf",https://www.noon.com/uae-en/journey-edp-100ml/N37974274A/p?o=d1f760bf81eb216b,Fresh,100ml,"cardamom,sichuanpepper,bergamot,neroli",475.05,EDP
AMOUAGE Jubilation,"amber,musk,vetiver,myrrh,patchouli",Women,"davana,labdanumciste,rose,frakincense",https://www.noon.com/uae-en/jubilation-25-edp-100ml/N12582156A/p?o=ba9d17dacfe53d8e,Floral,100ml,"tarragon,rose,lemon,ylangylang",593.1,EDP
AMOUAGE Library Collection Opus III,"musk,sandalwood,guaiac,woodvirginia,cedar,benzoin,vanille,ambrettemuskmallow,papyrus",Unisex,"jasmine,africanorangeflower,ylangylangg,violet",https://www.noon.com/uae-en/library-collection-opus-iii-edp-50ml/N36477583A/p?o=a43e3a82cac1098a,Woody,50ml,"mimosa,dyer’s,greenweed,clove,nutmegthyme",439.0,EDP
AMOUAGE Library Collection Opus V,"civetta,woodsynotes,agarwood",Unisex,"rose,jasmine,iris",https://www.noon.com/uae-en/library-collection-opus-v-edp-100ml/N37974217A/p?o=bdcfc888126c599d,Woody,100ml,,611.35,EDP
